"Prio","Företag","Ort","Segment","Anst","Beslutsfattare (roll)","Status","Nästa steg","Senaste kontakt","Pilot-förslag","Pain","LinkedIn-sök","Hemsida","Connection request","Notering"
"A","Gamlestadens Rör","Göteborg","VVS","~34","Anders Carlsson (VD)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Tidrapport+faktura manuellt på kvällar","https://www.linkedin.com/search/results/people/?keywords=Anders%20Carlsson%20Gamlestadens%20Rör","https://gamlestadensror.se","Hej Anders! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Gamlestadens Rör. Connectar gärna!","Verifierat via hemsida"
"A","Westman El","Göteborg","El","23-25","Anders Lomberg (VD/ägare)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Tidrapport+fakturaunderlag äter kvällar","https://www.linkedin.com/search/results/people/?keywords=Anders%20Lomberg%20Westman%20El","https://westmanel.se","Hej Anders! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Westman El. Connectar gärna!","Verifierat. Ägarstyrt = snabbt beslut"
"A","Halmstad Kylteknik","Halmstad","Kyla","~35","Henrik Ohlsson (VD)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Serviceavtal: timspårning hinns ej","https://www.linkedin.com/search/results/people/?keywords=Henrik%20Ohlsson%20Halmstad%20Kylteknik","https://halmstadkylteknik.se","Hej Henrik! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Halmstad Kylteknik. Connectar gärna!","Verifierat. Familjedrivet"
"A","Tobiassons","Hisings Backa","VVS","~10","Mikael Paulsson (VD)","Ej påbörjad","Följ + like 2 inlägg","","Tidrapport→faktura","Tidrapport+faktura manuellt på kvällar","https://www.linkedin.com/search/results/people/?keywords=Mikael%20Paulsson%20Tobiassons%20VVS","https://tobiassons.se","Hej Mikael! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Tobiassons. Connectar gärna!","Bästa segmentträff — timpris på hemsidan"
"A","KESE Måleri","Trollhättan","Måleri","~11","Jonas Lindstedt (ansvarig)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Offert tar kvällar; ÄTA tappas","https://www.linkedin.com/search/results/people/?keywords=Jonas%20Lindstedt%20KESE%20Måleri","https://kesemaleri.se","Hej Jonas! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som KESE Måleri. Connectar gärna!","5 delägare = ägarbeslut nära"
"A","Göteborgs Måleri Kjell Börjesson","Mölndal","Måleri","~25","Mikael Gullberg (ordf.)","Ej påbörjad","Verifiera storlek/hemsida","","Offert-agent","Offert tar kvällar; ÄTA tappas","https://www.linkedin.com/search/results/people/?keywords=Mikael%20Gullberg%20Göteborgs%20Måleri","(verifiera på allabolag)","Hej Mikael! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Göteborgs Måleri. Connectar gärna!","Storlek från allabolag-sök"
"A","Götalands Tak, Plåt & Måleri","Göteborg","Tak/plåt","~10","Robert Kvarnfjärd (ägare)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Besiktning→offert manuellt","https://www.linkedin.com/search/results/people/?keywords=Robert%20Kvarnfjärd%20Götalands%20Tak","https://gotalandstak.com","Hej Robert! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Götalands Tak. Connectar gärna!","Allabolag 2023, oms 16,6 MSEK"
"A","Sandö Tak & Entreprenad","Göteborg/Kungsbacka","Tak","~10","Robert Lilke (ordf.)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Besiktning→offert manuellt","https://www.linkedin.com/search/results/people/?keywords=Robert%20Lilke%20Sandö%20Tak","https://sandotak.se","Hej Robert! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Sandö Tak. Connectar gärna!","Allabolag 2025, oms 18,7 MSEK"
"A","Häggners Plåtslageri","Trollhättan","Plåt/tak","~9","Jan Häggner (ägare)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Besiktning→offert manuellt","https://www.linkedin.com/search/results/people/?keywords=Jan%20Häggner%20Häggners%20Plåtslageri","https://haggnersplat.se","Hej Jan! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Häggners Plåtslageri. Connectar gärna!","Familjeägt 4:e generation"
"A","Golvkompaniet i Göteborg","Göteborg","Golv","~26","Per Patriksson (VD)","Ej påbörjad","Följ + like 2 inlägg","","Offert-agent","Offert+materialberäkning manuellt","https://www.linkedin.com/search/results/people/?keywords=Per%20Patriksson%20Golvkompaniet","https://golvkompaniet.com","Hej Per! Vi är båda i bygg/hantverk-världen — jag bygger AI-system som kapar offert- och adminstrul för firmor som Golvkompaniet. Connectar gärna!","Oms ~35 MSEK 2024"
